time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-09T14:06:25.947Z,63.2381,-147.1398,6.6,2.7,ml,,,,0.91,ak,ak020d09gmgv,2020-10-09T14:11:07.616Z,"78 km WNW of Paxson, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-10-09T14:05:43.600Z,44.3265,-115.1803333,3.06,2.31,ml,7,102,0.282,0.2,mb,mb80467574,2020-10-09T14:19:30.730Z,"22 km WNW of Stanley, Idaho",earthquake,0.52,2.61,0.196,10,reviewed,mb,mb
2020-10-09T14:01:28.786Z,61.5749,-149.8613,32.5,1.6,ml,,,,1.08,ak,ak020d09fk5q,2020-10-09T14:04:46.719Z,"Southern Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-10-09T13:38:36.800Z,19.4136657714844,-155.655838012695,0.230000004172325,1.84000003,md,13,140,,0.239999995,hv,hv72173006,2020-10-09T13:41:53.100Z,"22 km ESE of Honaunau-Napoopoo, Hawaii",earthquake,0.71,1.63,0.670000017,7,automatic,hv,hv
2020-10-09T13:34:45.050Z,38.04,-118.7371667,0.7,1.94,md,28,89,0.2794,0.05,nc,nc73468711,2020-10-09T17:12:02.695Z,"31km SE of Bodie, CA",earthquake,0.31,31.61,0.154,25,reviewed,nc,nc
2020-10-09T13:26:04.500Z,37.6555,-118.8583333,3.12,0.17,md,12,88,0.03084,0.03,nc,nc73468701,2020-10-09T17:00:07.061Z,"11km E of Mammoth Lakes, CA",earthquake,0.31,31.61,0.21,9,reviewed,nc,nc
2020-10-09T13:23:40.560Z,37.6568333,-118.8596667,3.65,-0.15,md,11,90,0.03201,0.03,nc,nc73468696,2020-10-09T15:46:59.040Z,"11km ENE of Mammoth Lakes, CA",earthquake,0.32,31.61,0.213,10,reviewed,nc,nc
2020-10-09T13:16:38.230Z,38.7324982,-122.9499969,5.25,1.17,md,18,231,0.06262,0.03,nc,nc73468691,2020-10-09T14:12:05.930Z,"10km SE of Cloverdale, CA",earthquake,1.56,1.29,0.01,5,automatic,nc,nc
2020-10-09T13:16:31.690Z,66.2287,-157.2425,0,1.9,ml,,,,0.66,ak,ak020d08xcij,2020-10-09T13:21:32.321Z,"70 km NNW of Huslia, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-10-09T13:00:59.390Z,38.1515,-117.936,14.4,1.6,ml,17,48.81,0.018,0.08,nn,nn00777933,2020-10-09T13:35:36.753Z,"30 km SSE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-10-09T12:59:39.430Z,35.8263333,-117.6441667,6.71,1.18,ml,17,88,0.03936,0.18,ci,ci39657824,2020-10-09T13:03:22.124Z,"23km WNW of Searles Valley, CA",earthquake,0.29,0.63,0.153,17,automatic,ci,ci
2020-10-09T12:56:32.786Z,66.2461,-157.2994,0,3.3,ml,,,,0.66,ak,ak020d08khmf,2020-10-09T13:04:10.418Z,"71 km S of Shungnak, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-10-09T12:52:14.823Z,61.7458,-149.4647,13.1,1.6,ml,,,,0.56,ak,ak020d08jle2,2020-10-09T12:56:09.250Z,"12 km W of Fishhook, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-10-09T12:49:19.775Z,60.0328,-153.0106,112.7,2.3,ml,,,,0.44,ak,ak020d08iylp,2020-10-09T12:54:28.949Z,"67 km ENE of Pedro Bay, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-10-09T12:47:40.483Z,61.4876,-150.0628,38.9,1.3,ml,,,,0.51,ak,ak020d08iksg,2020-10-09T12:51:08.331Z,"6 km WSW of Big Lake, Alaska",earthquake,,1.3,,,automatic,ak,ak
2020-10-09T12:44:41.830Z,38.8103333,-122.8243332,2.05,0.86,md,14,61,0.004058,0.02,nc,nc73468681,2020-10-09T13:20:05.624Z,"7km WNW of The Geysers, CA",earthquake,0.25,0.43,0.04,4,automatic,nc,nc
2020-10-09T12:31:19.446Z,62.166,-147.816,19,0.9,ml,,,,0.59,ak,ak020d08f3iq,2020-10-09T15:36:06.135Z,"40 km NNW of Glacier View, Alaska",earthquake,,2.2,,,reviewed,ak,ak
2020-10-09T12:09:14.685Z,61.7906,-153.9212,8.3,1.5,ml,,,,0.96,ak,ak020d08adl5,2020-10-09T12:13:54.504Z,"93 km ENE of Lime Village, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-10-09T12:01:05.770Z,33.9821667,-117.2365,10.85,1.24,ml,33,84,0.06331,0.19,ci,ci39657792,2020-10-09T13:00:36.090Z,"6km N of Moreno Valley, CA",earthquake,0.29,0.5,0.273,27,reviewed,ci,ci
2020-10-09T11:57:19.910Z,44.4556667,-115.1938333,5.91,2.16,ml,10,78,0.385,0.27,mb,mb80467559,2020-10-09T13:59:45.810Z,"33 km NW of Stanley, Idaho",earthquake,0.67,1.6,0.208,8,reviewed,mb,mb
2020-10-09T11:54:55.240Z,38.1887,-117.812,8,1.2,ml,12,63.52,0.047,0.2,nn,nn00777930,2020-10-09T12:48:55.689Z,"34 km SE of Mina, Nevada",earthquake,,2.2,,,automatic,nn,nn
2020-10-09T11:54:05.670Z,36.0875,-117.9013333,3.07,0.81,ml,7,211,0.04814,0.13,ci,ci39657784,2020-10-09T12:59:59.238Z,"6km NE of Coso Junction, CA",earthquake,0.6,0.94,0.066,6,reviewed,ci,ci
2020-10-09T11:49:33.760Z,38.8113327,-122.8231659,2.05,1.33,md,26,59,0.005303,0.03,nc,nc73468671,2020-10-09T12:30:06.364Z,"7km WNW of The Geysers, CA",earthquake,0.2,0.35,0.13,5,automatic,nc,nc
2020-10-09T11:46:32.450Z,17.652,-64.3165,71,3.5,md,10,188,1.6087,0.43,pr,pr2020283008,2020-10-09T14:24:22.987Z,"46 km E of Saint Croix, U.S. Virgin Islands",earthquake,8.5,7.06,0.05,5,reviewed,pr,pr
2020-10-09T11:40:16.697Z,38.1735,-117.9471,6.4,2.5,ml,26,44.94,0.036,0.1214,nn,nn00777926,2020-10-09T16:03:26.515Z,"27 km SSE of Mina, Nevada",earthquake,,0.8,0.24,14,reviewed,nn,nn
2020-10-09T11:38:02.360Z,19.4810009002686,-155.586837768555,-1.5900000333786,1.9,ml,29,79,,0.219999999,hv,hv72172901,2020-10-09T11:43:33.760Z,"29 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.5,0.25,0.21,3,automatic,hv,hv
2020-10-09T11:34:31.880Z,33.0648333,-115.59,5.98,1.26,ml,13,62,0.02736,0.24,ci,ci39657776,2020-10-09T11:38:10.538Z,"4km NE of Westmorland, CA",earthquake,0.52,0.49,0.213,14,automatic,ci,ci
2020-10-09T11:20:04.636Z,56.8034,-148.3853,27.3,3.5,ml,,,,0.79,ak,ak020d07ra33,2020-10-09T11:24:29.519Z,"252 km ESE of Chiniak, Alaska",earthquake,,5.4,,,automatic,ak,ak
2020-10-09T11:13:39.420Z,38.1765,-117.815,9.2,1.4,ml,19,57.8,0.036,0.11,nn,nn00777922,2020-10-09T11:41:16.562Z,"34 km SE of Mina, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-10-09T10:52:18.441Z,59.9094,-153.8663,178.2,2.2,ml,,,,0.72,ak,ak020d07cqto,2020-10-09T10:57:16.766Z,"19 km NE of Pedro Bay, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-10-09T10:29:20.720Z,35.7233333,-117.5275,12.35,0.86,ml,9,173,0.1084,0.11,ci,ci39657768,2020-10-09T13:00:14.240Z,"12km WSW of Searles Valley, CA",earthquake,0.53,0.75,0.192,10,reviewed,ci,ci
2020-10-09T10:14:38.390Z,36.2225,-89.4378333,7.74,1.26,md,14,55,0.01605,0.06,nm,nm60311797,2020-10-09T13:01:36.170Z,"6 km SE of Ridgely, Tennessee",earthquake,0.39,0.64,0.053,10,reviewed,nm,nm
2020-10-09T10:14:28.100Z,19.3400001525879,-155.137161254883,6.23999977111816,2.05,ml,12,128,,0.0700000003,hv,hv72172811,2020-10-09T10:19:58.520Z,"13 km S of Fern Forest, Hawaii",earthquake,0.67,1.70000005,0.24,4,automatic,hv,hv
2020-10-09T10:12:04.040Z,38.8333321,-122.809166,2.41,0.56,md,12,72,0.009948,0.01,nc,nc73468656,2020-10-09T11:14:05.887Z,"8km W of Cobb, CA",earthquake,0.33,1.08,,1,automatic,nc,nc
2020-10-09T10:10:24.050Z,38.3887,-118.002,18.7,1.1,ml,8,213.26,0.22,0.14,nn,nn00777921,2020-10-09T11:14:52.740Z,"9 km E of Mina, Nevada",earthquake,,10,,,automatic,nn,nn
2020-10-09T10:07:38.610Z,59.9882,-152.8903,107.1,2.2,ml,,,,0.74,ak,ak020d0734sq,2020-10-09T10:13:22.243Z,"63 km WNW of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-10-09T09:54:39.210Z,63.0762,-151.5686,0,1.6,ml,,,,0.64,ak,ak020d06rs02,2020-10-09T10:00:00.697Z,"52 km S of Denali National Park, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-10-09T09:54:22.309Z,36.483,-98.727,8.52,0.91,ml,24,132,0.01349735136,0.1,ok,ok2020tvzm,2020-10-09T16:54:15.711Z,"17 km SE of Waynoka, Oklahoma",earthquake,,0.3,0.26,4,reviewed,ok,ok
2020-10-09T09:44:46.640Z,33.0211667,-115.5893333,3.87,1.31,ml,17,50,0.01815,0.22,ci,ci39657760,2020-10-09T09:48:24.186Z,"4km ESE of Westmorland, CA",earthquake,0.44,0.43,0.208,21,automatic,ci,ci
2020-10-09T09:44:11.100Z,46.0958333,-111.664,4.52,2.02,ml,29,106,0.321,0.19,mb,mb80467554,2020-10-09T13:29:46.600Z,"Western Montana",earthquake,0.39,1.24,0.1,11,reviewed,mb,mb
2020-10-09T09:35:54.120Z,44.372,-115.131,3.26,2.03,ml,9,67,0.34,0.39,mb,mb80467549,2020-10-09T13:35:32.360Z,"23 km NW of Stanley, Idaho",earthquake,1.13,4.42,0.221,7,reviewed,mb,mb
2020-10-09T09:33:52.230Z,33.996,-116.9848333,18.03,1.67,ml,64,51,0.06455,0.21,ci,ci39657744,2020-10-09T09:50:24.302Z,"6km E of Calimesa, CA",earthquake,0.23,0.47,0.172,26,automatic,ci,ci
2020-10-09T09:31:30.063Z,64.5186,-153.4194,1.4,2,ml,,,,0.42,ak,ak020d06mtpp,2020-10-09T09:36:08.041Z,"88 km NW of Lake Minchumina, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-10-09T09:19:29.200Z,17.9508,-67.0191,5,2.5,md,8,224,0.0313,0.07,pr,pr2020283007,2020-10-09T09:34:03.397Z,"3 km SE of La Parguera, Puerto Rico",earthquake,0.37,0.46,0.26,4,reviewed,pr,pr
2020-10-09T09:06:29.708Z,62.7257,-150.6322,83.3,1.9,ml,,,,0.61,ak,ak020d06hgsl,2020-10-09T09:12:05.469Z,"26 km NNE of Petersville, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-10-09T09:01:48.720Z,38.1792,-117.8053,9.4,1.4,ml,20,57.43,0.048,0.09,nn,nn00777917,2020-10-09T10:11:55.152Z,"35 km SE of Mina, Nevada",earthquake,,1,,,automatic,nn,nn
2020-10-09T08:59:34.680Z,38.189,-117.8965,7.9,0.3,ml,9,122.09,0.031,0.02,nn,nn00777916,2020-10-09T09:03:13.054Z,"29 km SE of Mina, Nevada",earthquake,,7.3,,,automatic,nn,nn
2020-10-09T08:55:50.734Z,-27.8873,-66.3767,152.19,5,mb,,79,2.662,0.95,us,us6000c701,2020-10-09T09:12:12.040Z,"34 km S of Andalgalá, Argentina",earthquake,9.5,7.5,0.087,42,reviewed,us,us
2020-10-09T08:47:14.340Z,39.3596649,-123.2596664,3.61,1.31,md,7,166,0.07302,0.03,nc,nc73468646,2020-10-09T10:28:04.564Z,"10km SE of Willits, CA",earthquake,1.23,6.15,0.17,5,automatic,nc,nc
2020-10-09T08:43:26.730Z,38.7696648,-122.7354965,1.23,0.65,md,8,70,0.01158,0.02,nc,nc73468636,2020-10-09T09:37:05.206Z,"2km ESE of The Geysers, CA",earthquake,0.87,1.46,0.07,2,automatic,nc,nc
2020-10-09T08:42:19.570Z,38.7731667,-122.7375031,0.12,0.77,md,11,69,0.01007,0.1,nc,nc73468631,2020-10-09T09:12:06.033Z,"2km ESE of The Geysers, CA",earthquake,0.45,0.96,0.12,3,automatic,nc,nc
2020-10-09T08:31:56.160Z,38.1757,-117.904,5.3,1.5,ml,21,108.11,0.039,0.12,nn,nn00777914,2020-10-09T09:01:35.529Z,"29 km SE of Mina, Nevada",earthquake,,0.4,,,automatic,nn,nn
2020-10-09T08:29:11.740Z,38.1657,-117.832,11.6,1.1,ml,13,79.95,0.023,0.11,nn,nn00777912,2020-10-09T08:33:14.608Z,"34 km SE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-10-09T08:26:01.100Z,35.848,-117.682,8.12,1.01,ml,15,79,0.07583,0.07,ci,ci39657736,2020-10-09T13:00:59.246Z,"22km ESE of Little Lake, CA",earthquake,0.17,0.49,0.178,14,reviewed,ci,ci
2020-10-09T08:20:07.690Z,35.7036667,-117.5056667,6.24,0.73,ml,12,143,0.1222,0.13,ci,ci39657728,2020-10-09T13:13:18.311Z,"12km SW of Searles Valley, CA",earthquake,0.5,1.56,0.133,8,reviewed,ci,ci
2020-10-09T08:05:25.990Z,44.2805,-115.1686667,9.89,1.94,ml,7,88,0.256,0.17,mb,mb80467544,2020-10-09T13:40:36.960Z,"19 km WNW of Stanley, Idaho",earthquake,0.58,1.49,0.136,8,reviewed,mb,mb
2020-10-09T08:01:14.090Z,44.2738333,-115.1841667,11.85,2.18,ml,10,68,0.243,0.23,mb,mb80467534,2020-10-09T13:46:22.210Z,"20 km WNW of Stanley, Idaho",earthquake,0.64,1.16,0.155,8,reviewed,mb,mb
2020-10-09T08:00:24.750Z,34.0335,-116.8653333,19.57,0.6,ml,17,85,0.04782,0.17,ci,ci39657720,2020-10-09T08:04:01.460Z,"12km N of Banning, CA",earthquake,0.45,0.87,0.146,13,automatic,ci,ci
2020-10-09T07:55:49.590Z,17.9333,-66.911,7,2.72,md,22,199,0.0525,0.25,pr,pr2020283006,2020-10-09T09:36:52.933Z,"4 km S of Guánica, Puerto Rico",earthquake,0.59,0.31,0.27,7,reviewed,pr,pr
2020-10-09T07:52:53.990Z,36.4806667,-81.0958333,0.09,-0.61,md,4,142,0.002226,0.03,se,se60311792,2020-10-09T12:36:45.570Z,"3 km SE of Sparta, North Carolina",earthquake,0.25,1.64,0.065,4,reviewed,se,se
2020-10-09T07:50:46.420Z,37.87,-118.1058,4.1,0.5,ml,11,189.5,0.035,0.23,nn,nn00777910,2020-10-09T08:30:13.625Z,"22 km N of Dyer, Nevada",earthquake,,9.5,,,automatic,nn,nn
2020-10-09T07:50:44.966Z,61.0533,-150.8326,21.6,1.5,ml,,,,0.27,ak,ak020d05k298,2020-10-09T07:54:07.595Z,"16 km NNW of Point Possession, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-10-09T07:43:29.760Z,38.1673,-117.9935,0.8,1,ml,13,94.13,0.028,0.11,nn,nn00777906,2020-10-09T07:52:13.729Z,"26 km SSE of Mina, Nevada",earthquake,,4.1,,,automatic,nn,nn
2020-10-09T07:41:39.030Z,17.9405,-66.9655,12,2.19,md,14,223,0.0839,0.1,pr,pr2020283005,2020-10-09T08:06:16.482Z,"7 km WSW of Guánica, Puerto Rico",earthquake,0.52,0.34,0.14,6,reviewed,pr,pr
2020-10-09T07:37:08.152Z,38.174,-117.915,5.5,2.3,ml,28,54.09,0.037,0.1203,nn,nn00777903,2020-10-09T16:28:30.374Z,"29 km SE of Mina, Nevada",earthquake,,0.7,0.38,15,reviewed,nn,nn
2020-10-09T07:29:06.310Z,38.2058,-117.875,7.7,0.9,ml,10,108.42,0.009,0.09,nn,nn00777901,2020-10-09T07:37:53.636Z,"28 km SE of Mina, Nevada",earthquake,,2.7,,,automatic,nn,nn
2020-10-09T07:26:16.480Z,38.1458,-118.0417,2,0.6,ml,13,148.33,0.025,0.08,nn,nn00777898,2020-10-09T07:30:13.480Z,"27 km SSE of Mina, Nevada",earthquake,,10.5,,,automatic,nn,nn
2020-10-09T07:25:31.590Z,35.9205,-117.697,3.41,0.53,ml,10,80,0.04668,0.12,ci,ci39657712,2020-10-09T07:29:03.801Z,"19km E of Little Lake, CA",earthquake,0.32,1.12,0.149,6,automatic,ci,ci
2020-10-09T07:23:28.750Z,17.931,-66.9198,7,2.69,md,22,210,0.0599,0.15,pr,pr2020283004,2020-10-09T07:51:25.313Z,"4 km SSW of Guánica, Puerto Rico",earthquake,0.61,0.3,0.23,9,reviewed,pr,pr
2020-10-09T07:23:26.580Z,39.8279991,-123.3891678,3.05,2.35,md,15,80,0.07357,0.07,nc,nc73468626,2020-10-09T08:09:06.631Z,"13km WNW of Covelo, CA",earthquake,0.23,0.77,0.1,14,automatic,nc,nc
2020-10-09T07:16:17.300Z,17.9245,-66.908,7,2.73,md,20,214,0.0582,0.25,pr,pr2020283003,2020-10-09T07:45:07.810Z,"5 km S of Guánica, Puerto Rico",earthquake,0.63,0.34,0.18,5,reviewed,pr,pr
2020-10-09T07:10:27.170Z,35.0856667,-118.723,10.36,1.89,ml,33,40,0.06074,0.21,ci,ci39657696,2020-10-09T13:14:03.480Z,"17km SE of Arvin, CA",earthquake,0.3,0.69,0.141,27,reviewed,ci,ci
2020-10-09T07:06:18.970Z,35.7593333,-117.5526667,6.94,0.71,ml,10,147,0.06706,0.16,ci,ci39657688,2020-10-09T13:14:08.327Z,"14km W of Searles Valley, CA",earthquake,0.66,0.86,0.165,8,reviewed,ci,ci
2020-10-09T07:06:09.860Z,19.1628341674805,-155.489166259766,28.9599990844727,1.79999995,md,39,117,,0.129999995,hv,hv72172686,2020-10-09T07:09:28.760Z,"4 km SSW of Pāhala, Hawaii",earthquake,0.57,1.03999996,1.79999995,4,automatic,hv,hv
2020-10-09T07:04:48.520Z,17.937,-66.9166,7,2.88,md,21,205,0.0534,0.13,pr,pr2020283002,2020-10-09T07:25:40.696Z,"3 km SSW of Guánica, Puerto Rico",earthquake,0.53,0.27,0.3,15,reviewed,pr,pr
2020-10-09T07:04:37.130Z,38.1538,-117.9567,12.2,1.8,ml,20,75.88,0.025,0.14,nn,nn00777895,2020-10-09T07:27:36.551Z,"29 km SSE of Mina, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-10-09T07:03:46.780Z,38.8115005,-122.8148346,3.11,1.03,md,24,53,0.01151,0.02,nc,nc73468616,2020-10-09T07:28:04.390Z,"6km NW of The Geysers, CA",earthquake,0.22,0.48,0.18,4,automatic,nc,nc
2020-10-09T07:02:35.040Z,38.8131676,-122.8150024,2.92,0.65,md,19,88,0.01091,0.01,nc,nc73468611,2020-10-09T07:17:05.333Z,"6km NW of The Geysers, CA",earthquake,0.27,0.77,0.1,2,automatic,nc,nc
2020-10-09T07:00:12.860Z,36.9830017,-121.6431656,3.55,2.26,md,45,38,0.05413,0.1,nc,nc73468601,2020-10-09T15:27:21.452Z,"7km WSW of Gilroy, CA",earthquake,0.18,0.41,0.2,44,automatic,nc,nc
2020-10-09T06:59:59.710Z,34.2686667,-118.4813333,11.25,2.53,ml,81,32,0.01337,0.24,ci,ci39657680,2020-10-09T16:27:28.892Z,"2km E of Granada Hills, CA",earthquake,0.22,0.42,0.237,25,automatic,ci,ci
2020-10-09T06:47:53.150Z,33.5106667,-116.4546667,5.64,0.72,ml,24,101,0.1006,0.2,ci,ci39657672,2020-10-09T06:51:28.028Z,"21km ESE of Anza, CA",earthquake,0.31,1.33,0.136,16,automatic,ci,ci
2020-10-09T06:45:29.270Z,44.5088333,-115.2391667,8.43,2.18,ml,11,82,0.421,0.16,mb,mb80467519,2020-10-09T14:05:27.740Z,"40 km NW of Stanley, Idaho",earthquake,0.44,0.85,0.272,10,reviewed,mb,mb
2020-10-09T06:39:22.610Z,38.8213348,-122.7805023,1.75,0.74,md,18,44,0.008065,0.02,nc,nc73468596,2020-10-09T07:09:07.281Z,"5km W of Cobb, CA",earthquake,0.22,0.4,0.17,4,automatic,nc,nc
2020-10-09T06:32:26.360Z,38.1708,-117.916,10.9,0.4,ml,12,116.61,0.031,0.04,nn,nn00777893,2020-10-09T07:05:33.204Z,"29 km SE of Mina, Nevada",earthquake,,1.2,,,automatic,nn,nn
